genes	hgnc_synonyms	hgnc_genes	phenotype	phenotypeInheritance	geneMimNumber	phenotypeMimNumber	chromosome	comments
SCN9A|NENA|PN1|FEB3B|GEFSP7|SFNP|HSAN2D	SCN9A|SCN9A|SCN9A,SERPINE2|NA|NA|NA|NA	SERPINE2,SCN9A	Dravet syndrome, modifier of	Autosomal dominant	603415	607208	2	NA
SCN9A|NENA|PN1|FEB3B|GEFSP7|SFNP|HSAN2D	SCN9A|SCN9A|SCN9A,SERPINE2|NA|NA|NA|NA	SERPINE2,SCN9A	Erythermalgia, primary	Autosomal dominant	603415	133020	2	NA
SCN9A|NENA|PN1|FEB3B|GEFSP7|SFNP|HSAN2D	SCN9A|SCN9A|SCN9A,SERPINE2|NA|NA|NA|NA	SERPINE2,SCN9A	Small fiber neuropathy	Autosomal dominant	603415	133020	2	NA
SCN9A|NENA|PN1|FEB3B|GEFSP7|SFNP|HSAN2D	SCN9A|SCN9A|SCN9A,SERPINE2|NA|NA|NA|NA	SERPINE2,SCN9A	Epilepsy, generalized, with febrile seizures plus, type 7	Autosomal dominant	603415	613863	2	NA
SCN9A|NENA|PN1|FEB3B|GEFSP7|SFNP|HSAN2D	SCN9A|SCN9A|SCN9A,SERPINE2|NA|NA|NA|NA	SERPINE2,SCN9A	Paroxysmal extreme pain disorder,	Autosomal dominant	603415	167400	2	NA
SCN9A|NENA|PN1|FEB3B|GEFSP7|SFNP|HSAN2D	SCN9A|SCN9A|SCN9A,SERPINE2|NA|NA|NA|NA	SERPINE2,SCN9A	Insensitivity to pain, congenital	Autosomal recessive	603415	243000	2	NA
SCN9A|NENA|PN1|FEB3B|GEFSP7|SFNP|HSAN2D	SCN9A|SCN9A|SCN9A,SERPINE2|NA|NA|NA|NA	SERPINE2,SCN9A	HSAN2D, autosomal recessive	Autosomal recessive	603415	243000	2	NA
IDDM7	IDDM7	IDDM7	Diabetes mellitus, insulin-dependent, 7	None	600321	600321	2	NA
SHFM5	SHFM5	SHFM5	Split-hand/foot malformation 5	None	606708	606708	2	between EVX2 and D2S294
ABCB11|BSEP|SPGP|PFIC2|BRIC2	ABCB11|ABCB11|ABCB11|ABCB11|NA	ABCB11	Cholestasis, progressive familial intrahepatic 2	Autosomal recessive	603201	601847	2	NA
ABCB11|BSEP|SPGP|PFIC2|BRIC2	ABCB11|ABCB11|ABCB11|ABCB11|NA	ABCB11	Cholestasis, benign recurrent intrahepatic, 2	Autosomal recessive	603201	605479	2	NA
LRP2|DBS	LRP2|LRP2,MCF2L	LRP2,MCF2L	Donnai-Barrow syndrome	Autosomal recessive	600073	222448	2	NA
BBS5	BBS5	BBS5	Bardet-Biedl syndrome 5	Autosomal recessive	603650	615983	2	NA
KLHL41|KBTBD10|SARCOSIN|NEM9	KLHL41|KLHL41|KLHL41|NA	KLHL41	Nemaline myopathy 9	Autosomal recessive	607701	615731	2	NA
GAD1|SCP|CPSQ1	GAD1|SLC50A1|NA	GAD1,SLC50A1	?Cerebral palsy, spastic quadriplegic, 1	Autosomal recessive	605363	603513	2	mutation identified in 1 CPSQ1 family
DCAF17|C20orf37	DCAF17|ITPA	ITPA,DCAF17	Woodhouse-Sakati syndrome	Autosomal recessive	612515	241080	2	NA
SLC25A12|ARALAR	SLC25A12|NA	SLC25A12	Hypomyelination, global cerebral	Autosomal recessive	603667	612949	2	NA
ITGA6	ITGA6	ITGA6	Epidermolysis bullosa, junctional, with pyloric stenosis	Autosomal recessive	147556	226730	2	NA
ZAK|MLTK|MRK|SFMMP	NA|NA|ICK|NA	ICK	Split-foot malformation with mesoaxial polydactyly	Autosomal recessive	609479	616890	2	NA
CDCA7|JPO1|ICF3	CDCA7|CDCA7|NA	CDCA7	Immunodeficiency-centromeric instability-facial anomalies syndrome 3	None	609937	616910	2	NA
WIPF1|WASPIP|WIP|WAS2	WIPF1|WIPF1|WIPF1|NA	WIPF1	?Wiskott-Aldrich syndrome 2	None	602357	614493	2	mutation identified in 1 WAS2 patient
CHRNA1|ACHRD|CMS1B|CMS1A	CHRNA1|CHRND|NA|NA	CHRNA1,CHRND	Myasthenic syndrome, congenital, 1A, slow-channel	Autosomal dominant	100690	601462	2	NA
CHRNA1|ACHRD|CMS1B|CMS1A	CHRNA1|CHRND|NA|NA	CHRNA1,CHRND	Multiple pterygium syndrome, lethal type	Autosomal recessive	100690	253290	2	NA
CHRNA1|ACHRD|CMS1B|CMS1A	CHRNA1|CHRND|NA|NA	CHRNA1,CHRND	Myasthenic syndrome, congenital, 1B, fast-channel	Autosomal dominant; Autosomal recessive	100690	608930	2	NA
CHN1|CHN|ARHGAP2|RHOGAP2|DURS2	CHN1|CHN1,NR4A3|CHN1|NA|CHN1	NR4A3,CHN1	Duane retraction syndrome 2	None	118423	604356	2	NA
HOXD13|HOX4I|SPD1|BDSD	HOXD13|HOXD13|NA|NA	HOXD13	Synpolydactyly 1	Autosomal dominant	142989	186000	2	mutation identified in 1 BDSD family
HOXD13|HOX4I|SPD1|BDSD	HOXD13|HOXD13|NA|NA	HOXD13	Syndactyly, type V	Autosomal dominant	142989	186300	2	mutation identified in 1 BDSD family
HOXD13|HOX4I|SPD1|BDSD	HOXD13|HOXD13|NA|NA	HOXD13	Brachydactyly, type E	Autosomal dominant	142989	113300	2	mutation identified in 1 BDSD family
HOXD13|HOX4I|SPD1|BDSD	HOXD13|HOXD13|NA|NA	HOXD13	Brachydactyly, type D	Autosomal dominant	142989	113200	2	mutation identified in 1 BDSD family
HOXD13|HOX4I|SPD1|BDSD	HOXD13|HOXD13|NA|NA	HOXD13	?Brachydactyly-syndactyly syndrome	None	142989	610713	2	mutation identified in 1 BDSD family
HOXD10|HOX4D	HOXD10|HOXD10	HOXD10	Vertical talus, congenital	Autosomal dominant	142984	192950	2	NA
HOXD10|HOX4D	HOXD10|HOXD10	HOXD10	Charcot-Marie-Tooth disease, foot deformity of	Autosomal dominant	142984	192950	2	NA
AGPS|ADHAPS|RCDP3	AGPS|AGPS|NA	AGPS	Rhizomelic chondrodysplasia punctata, type 3	Autosomal recessive	603051	600121	2	NA
PDE11A|PDE11A1|PDE11A2|PDE11A3|PPNAD2	PDE11A|NA|NA|NA|NA	PDE11A	Pigmented nodular adrenocortical disease, primary, 2	Autosomal dominant	604961	610475	2	NA
PRKRA|PACT|RAX|DYT16	PRKRA|PRKRA,RBBP6|PRKRA,RAX|PRKRA	PRKRA,RBBP6,RAX	Dystonia 16	Autosomal recessive	603424	612067	2	NA
PJVK|DFNB59	NA|DFNB59	DFNB59	Deafness, autosomal recessive 59	Autosomal recessive	610219	610220	2	NA
TTN|CMD1G|TMD|LGMD2J|MPRM|HMERF|EOMFC	TTN|TTN|TTN|TTN|NA|NA|NA	TTN	Muscular dystrophy, limb-girdle, type 2J	Autosomal recessive	188840	608807	2	NA
TTN|CMD1G|TMD|LGMD2J|MPRM|HMERF|EOMFC	TTN|TTN|TTN|TTN|NA|NA|NA	TTN	Cardiomyopathy, familial hypertrophic, 9	None	188840	613765	2	NA
TTN|CMD1G|TMD|LGMD2J|MPRM|HMERF|EOMFC	TTN|TTN|TTN|TTN|NA|NA|NA	TTN	Cardiomyopathy, dilated, 1G	None	188840	604145	2	NA
TTN|CMD1G|TMD|LGMD2J|MPRM|HMERF|EOMFC	TTN|TTN|TTN|TTN|NA|NA|NA	TTN	Tibial muscular dystrophy, tardive	Autosomal dominant	188840	600334	2	NA
TTN|CMD1G|TMD|LGMD2J|MPRM|HMERF|EOMFC	TTN|TTN|TTN|TTN|NA|NA|NA	TTN	Myopathy, proximal, with early respiratory muscle involvement	None	188840	603689	2	NA
TTN|CMD1G|TMD|LGMD2J|MPRM|HMERF|EOMFC	TTN|TTN|TTN|TTN|NA|NA|NA	TTN	Myopathy, early-onset, with fatal cardiomyopathy	Autosomal recessive	188840	611705	2	NA
CERKL|RP26	CERKL|CERKL	CERKL	Retinitis pigmentosa 26	None	608381	608380	2	NA
NEUROD1|NIDDM	NEUROD1|NA	NEUROD1	Maturity-onset diabetes of the young 6	None	601724	606394	2	NA
NEUROD1|NIDDM	NEUROD1|NA	NEUROD1	Diabetes mellitus, noninsulin-dependent	Autosomal dominant	601724	125853	2	NA
ARVD4	ARVD4	ARVD4	Arrhythmogenic right ventricular dysplasia 4	Autosomal dominant	602087	602087	2	NA
FRZB|FRZB1|SRFP3|OS1	FRZB|FRZB|FRZB|NA	FRZB	Osteoarthritis susceptibility 1	Multifactorial	605083	165720	2	NA
COL3A1	COL3A1	COL3A1	Ehlers-Danlos syndrome, type IV	Autosomal dominant	120180	130050	2	in same 35kb segment as COL5A2
COL5A2|EDSC	COL5A2|NA	COL5A2	Ehlers-Danlos syndrome, classic type	Autosomal dominant	120190	130000	2	very close to COL3A1
SLC40A1|SLC11A3|FPN1|IREG1|HFE4	SLC40A1|SLC40A1|SLC40A1|SLC40A1|SLC40A1	SLC40A1	Hemochromatosis, type 4	None	604653	606069	2	NA
GDF8|MSTN|MSLHP	MSTN|MSTN|NA	MSTN	Muscle hypertrophy	None	601788	614160	2	NA
HIBCH	HIBCH	HIBCH	3-hydroxyisobutryl-CoA hydrolase deficiency	Autosomal recessive	610690	250620	2	NA
STAT1|CANDF7|IMD31A|IMD31B|IMD31C	STAT1|NA|NA|NA|NA	STAT1	Immunodeficiency 31A, mycobacteriosis, autosomal dominant	None	600555	614892	2	NA
STAT1|CANDF7|IMD31A|IMD31B|IMD31C	STAT1|NA|NA|NA|NA	STAT1	Immunodeficiency 31C, autosomal dominant	Autosomal dominant	600555	614162	2	NA
STAT1|CANDF7|IMD31A|IMD31B|IMD31C	STAT1|NA|NA|NA|NA	STAT1	Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive	None	600555	613796	2	NA
STAT4|SLEB11	STAT4|NA	STAT4	Systemic lupus erythematosus, susceptibility to, 11	None	600558	612253	2	NA
PGAP1|MRT42	PGAP1|NA	PGAP1	Mental retardation, autosomal recessive 42	Autosomal recessive	611655	615802	2	NA
SF3B1|SF3B155|SAP155|MDS	SF3B1|NA|SF3B1|PAFAH1B1	PAFAH1B1,SF3B1	Myelodysplastic syndrome, somatic	None	605590	614286	2	NA
HSPD1|SPG13|HSP60|HLD4	HSPD1|HSPD1|HSPD1|NA	HSPD1	Spastic paraplegia 13, autosomal dominant	Autosomal dominant	118190	605280	2	NA
HSPD1|SPG13|HSP60|HLD4	HSPD1|HSPD1|HSPD1|NA	HSPD1	Leukodystrophy, hypomyelinating, 4	Autosomal recessive	118190	612233	2	NA
MARS2|SPAX3|COXPD25	MARS2|MARS2|NA	MARS2	Spastic ataxia 3, autosomal recessive	Autosomal recessive	609728	611390	2	mutation identified in 1 COXPD25 family
MARS2|SPAX3|COXPD25	MARS2|MARS2|NA	MARS2	?Combined oxidative phosphorylation deficiency 25	Autosomal recessive	609728	616430	2	mutation identified in 1 COXPD25 family
SATB2|KIAA1034|GLSS	SATB2|SATB2|NA	SATB2	Glass syndrome	Autosomal dominant	608148	612313	2	NA
NDUFB3	NDUFB3	NDUFB3	Mitochondrial complex I deficiency	Mitochondrial; X-linked dominant; Autosomal recessive	603839	252010	2	pseudogenes on chr. 1, 9, and 14
CASP10|MCH4|ALPS2	CASP10|CASP10|NA	CASP10	Lymphoma, non-Hodgkin, somatic	None	601762	605027	2	NA
CASP10|MCH4|ALPS2	CASP10|CASP10|NA	CASP10	Gastric cancer, somatic	None	601762	613659	2	NA
CASP10|MCH4|ALPS2	CASP10|CASP10|NA	CASP10	Autoimmune lymphoproliferative syndrome, type II	Autosomal dominant	601762	603909	2	NA
CASP8|MCH5|ALPS2B	CASP8|CASP8|NA	CASP8	?Autoimmune lymphoproliferative syndrome, type IIB	Autosomal recessive	601763	607271	2	mutation identified in 1 ALPS2B family
CASP8|MCH5|ALPS2B	CASP8|CASP8|NA	CASP8	Lung cancer, protection against	Autosomal recessive	601763	211980	2	mutation identified in 1 ALPS2B family
CASP8|MCH5|ALPS2B	CASP8|CASP8|NA	CASP8	Breast cancer, protection against	Autosomal dominant	601763	114480	2	mutation identified in 1 ALPS2B family
CASP8|MCH5|ALPS2B	CASP8|CASP8|NA	CASP8	Hepatocellular carcinoma, somatic	None	601763	114550	2	mutation identified in 1 ALPS2B family
TMEM237|ALS2CR4|JBTS14	TMEM237|TMEM237|TMEM237	TMEM237	Joubert syndrome 14	Autosomal recessive	614423	614424	2	NA
ALS2|ALSJ|PLSJ|IAHSP	ALS2|NA|NA|NA	ALS2	Spastic paralysis, infantile onset ascending	Autosomal recessive	606352	607225	2	NA
ALS2|ALSJ|PLSJ|IAHSP	ALS2|NA|NA|NA	ALS2	Primary lateral sclerosis, juvenile	Autosomal recessive	606352	606353	2	NA
ALS2|ALSJ|PLSJ|IAHSP	ALS2|NA|NA|NA	ALS2	Amyotrophic lateral sclerosis 2, juvenile	Autosomal recessive	606352	205100	2	NA
SUMO1|UBL1|SMT3|OFC10	SUMO1|SUMO1|NA|SUMO1	SUMO1	Orofacial cleft 10	None	601912	613705	2	NA
BMPR2|PPH1|POVD1	BMPR2|BMPR2|NA	BMPR2	Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated	Autosomal dominant	600799	178600	2	NA
BMPR2|PPH1|POVD1	BMPR2|BMPR2|NA	BMPR2	Pulmonary hypertension, familial primary, 1, with or without HHT	Autosomal dominant	600799	178600	2	NA
BMPR2|PPH1|POVD1	BMPR2|BMPR2|NA	BMPR2	Pulmonary venoocclusive disease 1	Autosomal dominant	600799	265450	2	NA
CTLA4|IDDM12|CELIAC3|ALPS5	CTLA4|CTLA4|CTLA4|NA	CTLA4	Systemic lupus erythematosus, susceptibility to	Autosomal dominant	123890	152700	2	NA
CTLA4|IDDM12|CELIAC3|ALPS5	CTLA4|CTLA4|CTLA4|NA	CTLA4	Hashimoto thyroiditis	Autosomal dominant	123890	140300	2	NA
CTLA4|IDDM12|CELIAC3|ALPS5	CTLA4|CTLA4|CTLA4|NA	CTLA4	Diabetes mellitus, insulin-dependent, 12	None	123890	601388	2	NA
CTLA4|IDDM12|CELIAC3|ALPS5	CTLA4|CTLA4|CTLA4|NA	CTLA4	Celiac disease, susceptibility to, 3	None	123890	609755	2	NA
CTLA4|IDDM12|CELIAC3|ALPS5	CTLA4|CTLA4|CTLA4|NA	CTLA4	Autoimmune lymphoproliferative syndrome, type V	Autosomal dominant	123890	616100	2	NA
ICOS|AILIM|CVID1	CTLA4,ICOS|ICOS|NA	CTLA4,ICOS	Immunodeficiency, common variable, 1	Autosomal recessive	604558	607594	2	NA
OS4|GOA1	CTDSP2|NA	CTDSP2	Osteoarthritis susceptibility 4	None	610839	610839	2	max lod at D2S2358
NDUFS1	NDUFS1	NDUFS1	Mitochondrial complex I deficiency	Mitochondrial; X-linked dominant; Autosomal recessive	157655	252010	2	NA
FASTKD2|KIAA0971	FASTKD2|FASTKD2	FASTKD2	?Mitochondrial complex IV deficiency	Mitochondrial; Autosomal recessive	612322	220110	2	mutation identified in 1 family
CREB1	CREB1	CREB1	Histiocytoma, angiomatoid fibrous, somatic	None	123810	612160	2	fusion gene with EWSR1
CRYGD|CRYG4|CTRCT4|CACA|CCA3|PCC	CRYGD|CRYGD|NA|NA|NA|NA	CRYGD	Cataract 4, multiple types	Autosomal dominant	123690	115700	2	NA
CRYGC|CRYG3|CTRCT2|CCL	CRYGC|CRYGC|NA|CRYGEP	CRYGC,CRYGEP	Cataract 2, multiple types	Autosomal dominant	123680	604307	2	NA
CRYGB|CRYG2|CTRCT39	CRYGB|CRYGB|NA	CRYGB	Cataract 39, multiple types, autosomal dominant	Autosomal dominant	123670	615188	2	NA
IDDM13	IDDM13	IDDM13	Diabetes mellitus, insulin-dependent, 13	None	601318	601318	2	NA
SLEN2	SLEN2	SLEN2	Systemic lupus erythematosus with nephritis, susceptibility to, 2	None	607966	607966	2	NA
TCL4	TCL4	TCL4	Leukemia/lymphoma, T-cell	None	186860	186860	2	NA
IDH1	IDH1	IDH1	Glioma, susceptibility to, somatic	None	147700	137800	2	NA
PIKFYVE|PIP5K3	PIKFYVE|PIKFYVE	PIKFYVE	Corneal fleck dystrophy	Autosomal dominant	609414	121850	2	NA
UNC80|C2orf21|KIAA1843	UNC80|UNC80|UNC80	UNC80	Hypotonia, infantile, with psychomotor retardation and characteristic facies 2	Autosomal recessive	612636	616801	2	NA
CPS1|PHN	CPS1,CYP21A2|NA	CYP21A2,CPS1	Carbamoylphosphate synthetase I deficiency	Autosomal recessive	608307	237300	2	urea cycle enzyme
CPS1|PHN	CPS1,CYP21A2|NA	CYP21A2,CPS1	Venoocclusive disease after bone marrow transplantation	None	608307	NA	2	urea cycle enzyme
CPS1|PHN	CPS1,CYP21A2|NA	CYP21A2,CPS1	Pulmonary hypertension, neonatal, susceptibility to	None	608307	615371	2	urea cycle enzyme
ERBB4|HER4|ALS19	ERBB4|ERBB4|ERBB4	ERBB4	Amyotrophic lateral sclerosis 19	Autosomal dominant	600543	615515	2	NA
BARD1	BARD1	BARD1	Breast cancer, susceptibility to	Autosomal dominant	601593	114480	2	NA
ABCA12|ARCI4A|ARCI4B|ICR2B|LI2	ABCA12|NA|NA|ABCA12|ABCA12	ABCA12	Ichthyosis, congenital, autosomal recessive 4A	Autosomal recessive	607800	601277	2	NA
ABCA12|ARCI4A|ARCI4B|ICR2B|LI2	ABCA12|NA|NA|ABCA12|ABCA12	ABCA12	Ichthyosis, autosomal recessive 4B (harlequin)	Autosomal recessive	607800	242500	2	NA
ATIC|PURH|AICAR	ATIC|ATIC|NA	ATIC	AICA-ribosiduria due to ATIC deficiency	Autosomal recessive	601731	608688	2	NA
FN1|FN|LETS|FNZ|GFND2	FN1|NA|FN1|NA|FN1	FN1	Plasma fibronectin deficiency	None	135600	614101	2	NA
FN1|FN|LETS|FNZ|GFND2	FN1|NA|FN1|NA|FN1	FN1	Glomerulopathy with fibronectin deposits 2	Autosomal dominant	135600	601894	2	NA
SMARCAL1|HARP|SIOD	SMARCAL1|ANGPTL2,ANKS4B,PANK2,SMARCAL1|NA	SMARCAL1,PANK2,ANGPTL2,ANKS4B	Schimke immunoosseous dysplasia	Autosomal recessive	606622	242900	2	NA
CXCR1|IL8RA	CXCR1|CXCR1	CXCR1	AIDS, slow progression to	None	146929	609423	2	NA
MR1|TAHCCP2|KIPP1184|BRP17|PNKD|FPD1|PDC|DYT8	MR1|PNKD|PNKD|PNKD|PNKD|PNKD|PDC,PNKD|PNKD	PNKD,PDC,MR1	Paroxysmal nonkinesigenic dyskinesia	Autosomal dominant	609023	118800	2	NA
NRAMP1|NRAMP|SLC11A1	SLC11A1|SLC11A1|SLC11A1	SLC11A1	Buruli ulcer, susceptibility to	None	600266	610446	2	within 220 kb of VIL1
NRAMP1|NRAMP|SLC11A1	SLC11A1|SLC11A1|SLC11A1	SLC11A1	Mycobacterium tuberculosis, susceptibility to infection by	None	600266	607948	2	within 220 kb of VIL1
VIL1	VIL1	VIL1	Cholestasis, progressive canalicular	None	193040	NA	2	NA
BCS1L|FLNMS|GRACILE|BJS|PTD|MC3DN1	BCS1L|NA|NA|BCS1L|NA|NA	BCS1L	Leigh syndrome	Mitochondrial; Autosomal recessive	603647	256000	2	NA
BCS1L|FLNMS|GRACILE|BJS|PTD|MC3DN1	BCS1L|NA|NA|BCS1L|NA|NA	BCS1L	GRACILE syndrome	None	603647	603358	2	NA
BCS1L|FLNMS|GRACILE|BJS|PTD|MC3DN1	BCS1L|NA|NA|BCS1L|NA|NA	BCS1L	Bjornstad syndrome	Autosomal recessive	603647	262000	2	NA
BCS1L|FLNMS|GRACILE|BJS|PTD|MC3DN1	BCS1L|NA|NA|BCS1L|NA|NA	BCS1L	Mitochondrial complex III deficiency, nuclear type 1	Autosomal recessive	603647	124000	2	NA
CYP27A1|CYP27|CTX	CYP27A1|CYP27A1|CYP27A1	CYP27A1	Cerebrotendinous xanthomatosis	Autosomal recessive	606530	213700	2	NA
WNT10A|SSPS|STHAG4|OODD	WNT10A|NA|NA|NA	WNT10A	Schopf-Schulz-Passarge syndrome	Autosomal recessive	606268	224750	2	NA
WNT10A|SSPS|STHAG4|OODD	WNT10A|NA|NA|NA	WNT10A	Odontoonychodermal dysplasia	Autosomal recessive	606268	257980	2	NA
WNT10A|SSPS|STHAG4|OODD	WNT10A|NA|NA|NA	WNT10A	Tooth agenesis, selective, 4	Autosomal dominant	606268	150400	2	NA
CRYBA2|CTRCT42	CRYBA2|NA	CRYBA2	?Cataract 42	Autosomal dominant	600836	115900	2	mutation identified in 1 CTRCT42 family
IHH|BDA1	IHH|IHH	IHH	Brachydactyly, type A1	Autosomal dominant	600726	112500	2	NA
IHH|BDA1	IHH|IHH	IHH	Acrocapitofemoral dysplasia	Autosomal recessive	600726	607778	2	NA
NHEJ1|XLF	NHEJ1|NHEJ1	NHEJ1	Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation	None	611290	611291	2	NA
ABCB6|MTABC3|MCOPCB7|LAN|DUH3|PSHK2	ABCB6|ABCB6|NA|DGCR2|NA|NA	DGCR2,ABCB6	Microphthalmia, isolated, with coloboma 7	Autosomal dominant	605452	614497	2	NA
ABCB6|MTABC3|MCOPCB7|LAN|DUH3|PSHK2	ABCB6|ABCB6|NA|DGCR2|NA|NA	DGCR2,ABCB6	Dyschromatosis universalis hereditaria 3	Autosomal dominant	605452	615402	2	NA
ABCB6|MTABC3|MCOPCB7|LAN|DUH3|PSHK2	ABCB6|ABCB6|NA|DGCR2|NA|NA	DGCR2,ABCB6	Blood group, Langereis system	None	605452	111600	2	NA
ABCB6|MTABC3|MCOPCB7|LAN|DUH3|PSHK2	ABCB6|ABCB6|NA|DGCR2|NA|NA	DGCR2,ABCB6	Pseudohyperkalemia, familial, 2, due to red cell leak	Autosomal dominant	605452	609153	2	NA
TUBA4A|TUBA1|ALS22	TUBA4A|TUBA4A|NA	TUBA4A	Amyotrophic lateral sclerosis 22 with or without frontotemoral dementia	Autosomal dominant	191110	616208	2	NA
DNAJB2|HSJ1|HSPF3|DSMA5|CMT2T	DNAJB2|DNAJB2|DNAJB2|NA|NA	DNAJB2	Spinal muscular atrophy, distal, autosomal recessive, 5	Autosomal recessive	604139	614881	2	mutation identified in 1 CMT2T family
DNAJB2|HSJ1|HSPF3|DSMA5|CMT2T	DNAJB2|DNAJB2|DNAJB2|NA|NA	DNAJB2	?Charcot-Marie-Tooth disease, axonal, type 2T	Autosomal recessive	604139	616233	2	mutation identified in 1 CMT2T family
DES|CMD1I|MFM1|SCPNK|ARVD7|ARVC7|LGMD2R	DES|DES|NA|NA|NA|NA|NA	DES	?Muscular dystrophy, limb-girdle, type 2R	Autosomal recessive	125660	615325	2	1 family with LGMD2R identified with mutation
DES|CMD1I|MFM1|SCPNK|ARVD7|ARVC7|LGMD2R	DES|DES|NA|NA|NA|NA|NA	DES	Scapuloperoneal syndrome, neurogenic, Kaeser type	Autosomal dominant	125660	181400	2	1 family with LGMD2R identified with mutation
DES|CMD1I|MFM1|SCPNK|ARVD7|ARVC7|LGMD2R	DES|DES|NA|NA|NA|NA|NA	DES	Myopathy, myofibrillar, 1	Autosomal dominant; Autosomal recessive	125660	601419	2	1 family with LGMD2R identified with mutation
DES|CMD1I|MFM1|SCPNK|ARVD7|ARVC7|LGMD2R	DES|DES|NA|NA|NA|NA|NA	DES	Cardiomyopathy, dilated, 1I	None	125660	604765	2	1 family with LGMD2R identified with mutation
SPEG|APEG1|CNM5	SPEG|SPEG|NA	SPEG	Centronuclear myopathy 5	Autosomal recessive	615950	615959	2	NA
GMPPA|AAMR	GMPPA|NA	GMPPA	Alacrima, achalasia, and mental retardation syndrome	Autosomal recessive	615495	615510	2	NA
OBSL1|KIAA0657|3M2	OBSL1|OBSL1|NA	OBSL1	3-M syndrome 2	None	610991	612921	2	NA
PAX3|WS1|HUP2|CDHS|WS3	PAX3|PAX3|PAX3|NA|NA	PAX3	Waardenburg syndrome, type 3	Autosomal dominant; Autosomal recessive	606597	148820	2	NA
PAX3|WS1|HUP2|CDHS|WS3	PAX3|PAX3|PAX3|NA|NA	PAX3	Waardenburg syndrome, type 1	Autosomal dominant	606597	193500	2	NA
PAX3|WS1|HUP2|CDHS|WS3	PAX3|PAX3|PAX3|NA|NA	PAX3	Rhabdomyosarcoma 2, alveolar	Autosomal recessive	606597	268220	2	NA
PAX3|WS1|HUP2|CDHS|WS3	PAX3|PAX3|PAX3|NA|NA	PAX3	Craniofacial-deafness-hand syndrome	Autosomal dominant	606597	122880	2	NA
AP1S3|PSORS15	AP1S3|NA	AP1S3	Psoriasis 15, pustular, susceptibility to	Autosomal dominant	615781	616106	2	NA
MRPL44|COXPD16	MRPL44|NA	MRPL44	?Combined oxidative phosphorylation deficiency 16	Autosomal recessive	611849	615395	2	Mutation identified in 1 family
CUL3|PHA2E	CUL3|NA	CUL3	Pseudohypoaldosteronism, type IIE	Autosomal dominant	603136	614496	2	NA
IRS1	IRS1	IRS1	Diabetes mellitus, noninsulin-dependent	Autosomal dominant	147545	125853	2	NA
IRS1	IRS1	IRS1	Coronary artery disease, susceptibility to	None	147545	NA	2	NA
COL4A4	COL4A4	COL4A4	Hematuria, familial benign	None	120131	NA	2	head-to-head with COL4A4 in same YAC
COL4A4	COL4A4	COL4A4	Alport syndrome, autosomal recessive	Autosomal recessive	120131	203780	2	head-to-head with COL4A4 in same YAC
COL4A3	COL4A3	COL4A3	Alport syndrome, autosomal dominant	Autosomal dominant	120070	104200	2	noncollagenous domain = Goodpasture antigen
COL4A3	COL4A3	COL4A3	Hematuria, benign familial	Autosomal dominant	120070	141200	2	noncollagenous domain = Goodpasture antigen
COL4A3	COL4A3	COL4A3	Alport syndrome, autosomal recessive	Autosomal recessive	120070	203780	2	noncollagenous domain = Goodpasture antigen
TM4SF20|SLI5	TM4SF20|NA	TM4SF20	Specific language impairment 5	Autosomal dominant	615404	615432	2	NA
SLC19A3|THMD2|BBGD	SLC19A3|NA|NA	SLC19A3	Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2)	Autosomal recessive	606152	607483	2	NA
BDMR|C2DELq37|DEL2q37	HDAC4|NA|NA	HDAC4	Chromosome 2q37 deletion syndrome	Autosomal dominant	600430	600430	2	NA
MYP12	MYP12	MYP12	Myopia 12	None	609995	609995	2	max lod at D2S2344
SP110|IFI41|IFI75|VODI	SP110|SP110|SP110|NA	SP110	Hepatic venoocclusive disease with immunodeficiency	Autosomal recessive	604457	235550	2	NA
SP110|IFI41|IFI75|VODI	SP110|SP110|SP110|NA	SP110	Mycobacterium tuberculosis, susceptibility to	None	604457	607948	2	NA
PDE6D|JBTS22	PDE6D|PDE6D	PDE6D	?Joubert syndrome 22	Autosomal recessive	602676	615665	2	mutation identified in 1 JBTS22 family
DIS3L2|PRLMNS	DIS3L2|NA	DIS3L2	Perlman syndrome	Autosomal recessive	614184	267000	2	NA
ECEL1|XCE|DA5D	ECEL1|ECEL1,XCE|NA	ECEL1,XCE	Arthrogryposis, distal, type 5D	Autosomal recessive	605896	615065	2	NA
PRSS56|MCOP6	PRSS56|NA	PRSS56	Microphthalmia, isolated 6	Autosomal recessive	613858	613517	2	NA
CHRND|ACHRD|SCCMS|CMS3A|CMS3B|CMS3C	CHRND|CHRND|NA|NA|NA|NA	CHRND	?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency	Autosomal recessive	100720	616323	2	mutation identified in 1 CMS3A patient and 1 CMS3C family
CHRND|ACHRD|SCCMS|CMS3A|CMS3B|CMS3C	CHRND|CHRND|NA|NA|NA|NA	CHRND	?Myasthenic syndrome, congenital, 3A, slow-channel	Autosomal dominant	100720	616321	2	mutation identified in 1 CMS3A patient and 1 CMS3C family
